division_id,date,cases
central,2006-01-02,0
central,2006-01-09,0
central,2006-01-16,0
central,2006-01-23,0
central,2006-01-30,0
central,2006-02-06,0
central,2006-02-13,0
central,2006-02-20,0
central,2006-02-27,0
central,2006-03-06,0
central,2006-03-13,0
central,2006-03-20,0
central,2006-03-27,0
central,2006-04-03,0
central,2006-04-10,0
central,2006-04-17,0
central,2006-04-24,0
central,2006-05-01,0
central,2006-05-08,0
central,2006-05-15,0
central,2006-05-22,0
central,2006-05-29,0
central,2006-06-05,0
central,2006-06-12,0
central,2006-06-19,0
central,2006-06-26,0
central,2006-07-03,0
central,2006-07-10,0
central,2006-07-17,0
central,2006-07-24,0
central,2006-07-31,0
central,2006-08-07,0
central,2006-08-14,0
central,2006-08-21,0
central,2006-08-28,0
central,2006-09-04,0
central,2006-09-11,1
central,2006-09-18,1
central,2006-09-25,1
central,2006-10-02,0
central,2006-10-09,1
central,2006-10-16,0
central,2006-10-23,0
central,2006-10-30,0
central,2006-11-06,1
central,2006-11-13,0
central,2006-11-20,0
central,2006-11-27,0
central,2006-12-04,0
central,2006-12-11,2
central,2006-12-18,1
central,2007-01-01,2
central,2007-01-08,1
central,2007-01-15,1
central,2007-01-22,0
central,2007-01-29,0
central,2007-02-05,1
central,2007-02-12,0
central,2007-02-19,0
central,2007-02-26,0
central,2007-03-05,1
central,2007-03-12,4
central,2007-03-19,3
central,2007-03-26,2
central,2007-04-02,2
central,2007-04-09,6
central,2007-04-16,0
central,2007-04-23,1
central,2007-04-30,3
central,2007-05-07,0
central,2007-05-14,10
central,2007-05-21,3
central,2007-05-28,3
central,2007-06-04,0
central,2007-06-11,7
central,2007-06-18,2
central,2007-06-25,3
central,2007-07-02,3
central,2007-07-09,3
central,2007-07-16,1
central,2007-07-23,0
central,2007-07-30,3
central,2007-08-06,0
central,2007-08-13,1
central,2007-08-20,1
central,2007-08-27,0
central,2007-09-03,0
central,2007-09-10,5
central,2007-09-17,1
central,2007-09-24,0
central,2007-10-01,2
central,2007-10-08,0
central,2007-10-15,2
central,2007-10-22,1
central,2007-10-29,3
central,2007-11-05,0
central,2007-11-12,2
central,2007-11-19,0
central,2007-11-26,0
central,2007-12-03,6
central,2007-12-10,0
central,2007-12-17,0
central,2007-12-24,0
central,2008-01-01,0
central,2008-01-07,0
central,2008-01-14,4
central,2008-01-21,3
central,2008-01-28,2
central,2008-02-04,0
central,2008-02-11,4
central,2008-02-18,0
central,2008-02-25,0
central,2008-03-03,0
central,2008-03-10,0
central,2008-03-17,0
central,2008-03-24,0
central,2008-03-31,0
central,2008-04-07,0
central,2008-04-14,0
central,2008-04-21,0
central,2008-04-28,0
central,2008-05-05,0
central,2008-05-12,0
central,2008-05-19,0
central,2008-05-26,0
central,2008-06-02,0
central,2008-06-09,0
central,2008-06-16,0
central,2008-06-23,0
central,2008-06-30,0
central,2008-07-07,0
central,2008-07-14,0
central,2008-07-21,0
central,2008-07-28,0
central,2008-08-04,0
central,2008-08-11,0
central,2008-08-18,0
central,2008-08-25,0
central,2008-09-01,2
central,2008-09-08,0
central,2008-09-15,0
central,2008-09-22,0
central,2008-09-29,0
central,2008-10-06,0
central,2008-10-13,0
central,2008-10-20,0
central,2008-10-27,0
central,2008-11-03,0
central,2008-11-10,0
central,2008-11-17,0
central,2008-11-24,0
central,2008-12-01,0
central,2008-12-08,0
central,2008-12-15,0
central,2008-12-22,0
central,2009-01-01,1
central,2009-01-05,3
central,2009-01-12,0
central,2009-01-19,4
central,2009-01-26,9
central,2009-02-02,6
central,2009-02-09,0
central,2009-02-16,1
central,2009-02-23,3
central,2009-03-02,1
central,2009-03-09,6
central,2009-03-16,4
central,2009-03-23,0
central,2009-03-30,5
central,2009-04-06,5
central,2009-04-13,1
central,2009-04-20,1
central,2009-04-27,3
central,2009-05-04,4
central,2009-05-11,2
central,2009-05-18,3
central,2009-05-25,2
central,2009-06-01,1
central,2009-06-08,2
central,2009-06-15,1
central,2009-06-22,1
central,2009-06-29,0
central,2009-07-06,1
central,2009-07-13,1
central,2009-07-20,0
central,2009-07-27,0
central,2009-08-03,0
central,2009-08-10,0
central,2009-08-17,0
central,2009-08-24,1
central,2009-08-31,0
central,2009-09-07,0
central,2009-09-14,0
central,2009-09-21,0
central,2009-09-28,0
central,2009-10-05,0
central,2009-10-12,0
central,2009-10-19,0
central,2009-10-26,0
central,2009-11-02,0
central,2009-11-09,0
central,2009-11-16,0
central,2009-11-23,0
central,2009-11-30,0
central,2009-12-07,0
central,2009-12-14,0
central,2009-12-21,0
central,2010-01-04,0
central,2010-01-11,0
central,2010-01-18,0
central,2010-01-25,0
central,2010-02-01,1
central,2010-02-08,0
central,2010-02-15,0
central,2010-02-22,0
central,2010-03-01,0
central,2010-03-08,0
central,2010-03-15,0
central,2010-03-22,0
central,2010-03-29,0
central,2010-04-05,0
central,2010-04-12,0
central,2010-04-19,0
central,2010-04-26,0
central,2010-05-03,0
central,2010-05-10,0
