trial,score,auc,pr_auc,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,n_estimators,train_end,test_start,test_end
1,0.5555555555555556,0.5,0.5555555555555556,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-06-27,2006-07-04,2006-07-18
2,0.5555555555555556,0.5,0.5555555555555556,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-06-27,2006-07-04,2006-07-18
3,0.5555555555555556,0.5,0.5555555555555556,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-06-27,2006-07-04,2006-07-18
4,0.5555555555555556,0.5,0.5555555555555556,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-06-27,2006-07-04,2006-07-18
5,0.5555555555555556,0.5,0.5555555555555556,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-06-27,2006-07-04,2006-07-18
8,0.5555555555555556,0.5,0.5555555555555556,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-06-27,2006-07-04,2006-07-18
11,0.5555555555555556,0.5,0.5555555555555556,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-06-27,2006-07-04,2006-07-18
9,0.5555555555555556,0.5,0.5555555555555556,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-06-27,2006-07-04,2006-07-18
12,0.5555555555555556,0.5,0.5555555555555556,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-06-27,2006-07-04,2006-07-18
13,0.5555555555555556,0.5,0.5555555555555556,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-06-27,2006-07-04,2006-07-18
14,0.5555555555555556,0.5,0.5555555555555556,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-06-27,2006-07-04,2006-07-18
6,0.20833333333333331,0.453125,0.20833333333333331,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-06-27,2006-07-04,2006-07-18
10,0.20833333333333331,0.453125,0.20833333333333331,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-06-27,2006-07-04,2006-07-18
7,0.20833333333333331,0.453125,0.20833333333333331,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-06-27,2006-07-04,2006-07-18
15,0.20833333333333331,0.453125,0.20833333333333331,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-06-27,2006-07-04,2006-07-18
16,0.20833333333333331,0.453125,0.20833333333333331,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-06-27,2006-07-04,2006-07-18
17,0.20833333333333331,0.453125,0.20833333333333331,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-06-27,2006-07-04,2006-07-18
18,0.20833333333333331,0.453125,0.20833333333333331,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-06-27,2006-07-04,2006-07-18
19,0.20833333333333331,0.453125,0.20833333333333331,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-06-27,2006-07-04,2006-07-18
20,0.20833333333333331,0.453125,0.20833333333333331,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-06-27,2006-07-04,2006-07-18
1,0.5694444444444444,0.5,0.5694444444444444,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-07-04,2006-07-11,2006-07-25
2,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-07-04,2006-07-11,2006-07-25
4,0.5694444444444444,0.5,0.5694444444444444,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-07-04,2006-07-11,2006-07-25
5,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-07-04,2006-07-11,2006-07-25
13,0.5694444444444444,0.5,0.5694444444444444,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-07-04,2006-07-11,2006-07-25
11,0.5694444444444444,0.5,0.5694444444444444,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-07-04,2006-07-11,2006-07-25
3,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-07-04,2006-07-11,2006-07-25
7,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-07-04,2006-07-11,2006-07-25
8,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-07-04,2006-07-11,2006-07-25
9,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-07-04,2006-07-11,2006-07-25
10,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-07-04,2006-07-11,2006-07-25
6,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-07-04,2006-07-11,2006-07-25
12,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-07-04,2006-07-11,2006-07-25
14,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-07-04,2006-07-11,2006-07-25
15,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-07-04,2006-07-11,2006-07-25
16,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-07-04,2006-07-11,2006-07-25
17,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-07-04,2006-07-11,2006-07-25
18,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-07-04,2006-07-11,2006-07-25
19,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-07-04,2006-07-11,2006-07-25
20,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-07-04,2006-07-11,2006-07-25
1,0.5694444444444444,0.5,0.5694444444444444,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-07-11,2006-07-18,2006-08-01
2,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-07-11,2006-07-18,2006-08-01
4,0.5694444444444444,0.5,0.5694444444444444,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-07-11,2006-07-18,2006-08-01
5,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-07-11,2006-07-18,2006-08-01
13,0.5694444444444444,0.5,0.5694444444444444,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-07-11,2006-07-18,2006-08-01
3,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-07-11,2006-07-18,2006-08-01
7,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-07-11,2006-07-18,2006-08-01
6,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-07-11,2006-07-18,2006-08-01
9,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-07-11,2006-07-18,2006-08-01
10,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-07-11,2006-07-18,2006-08-01
11,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-07-11,2006-07-18,2006-08-01
8,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-07-11,2006-07-18,2006-08-01
12,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-07-11,2006-07-18,2006-08-01
14,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-07-11,2006-07-18,2006-08-01
15,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-07-11,2006-07-18,2006-08-01
16,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-07-11,2006-07-18,2006-08-01
17,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-07-11,2006-07-18,2006-08-01
18,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-07-11,2006-07-18,2006-08-01
19,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-07-11,2006-07-18,2006-08-01
20,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-07-11,2006-07-18,2006-08-01
1,0.5694444444444444,0.5,0.5694444444444444,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-07-18,2006-07-25,2006-08-08
2,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-07-18,2006-07-25,2006-08-08
4,0.5694444444444444,0.5,0.5694444444444444,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-07-18,2006-07-25,2006-08-08
5,0.5694444444444444,0.5,0.5694444444444444,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-07-18,2006-07-25,2006-08-08
13,0.5694444444444444,0.5,0.5694444444444444,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-07-18,2006-07-25,2006-08-08
3,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-07-18,2006-07-25,2006-08-08
7,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-07-18,2006-07-25,2006-08-08
6,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-07-18,2006-07-25,2006-08-08
9,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-07-18,2006-07-25,2006-08-08
10,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-07-18,2006-07-25,2006-08-08
11,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-07-18,2006-07-25,2006-08-08
8,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-07-18,2006-07-25,2006-08-08
12,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-07-18,2006-07-25,2006-08-08
14,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-07-18,2006-07-25,2006-08-08
15,0.19722222222222224,0.4225806451612903,0.19722222222222224,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-07-18,2006-07-25,2006-08-08
16,0.19722222222222224,0.4225806451612903,0.19722222222222224,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-07-18,2006-07-25,2006-08-08
17,0.19722222222222224,0.4225806451612903,0.19722222222222224,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-07-18,2006-07-25,2006-08-08
18,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-07-18,2006-07-25,2006-08-08
19,0.19722222222222224,0.4225806451612903,0.19722222222222224,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-07-18,2006-07-25,2006-08-08
20,0.19722222222222224,0.4225806451612903,0.19722222222222224,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-07-18,2006-07-25,2006-08-08
1,0.5833333333333334,0.5,0.5833333333333334,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-07-25,2006-08-01,2006-08-15
2,0.5833333333333334,0.5,0.5833333333333334,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-07-25,2006-08-01,2006-08-15
4,0.5833333333333334,0.5,0.5833333333333334,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-07-25,2006-08-01,2006-08-15
5,0.5833333333333334,0.5,0.5833333333333334,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-07-25,2006-08-01,2006-08-15
13,0.5833333333333334,0.5,0.5833333333333334,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-07-25,2006-08-01,2006-08-15
3,0.19444444444444442,0.4,0.19444444444444442,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-07-25,2006-08-01,2006-08-15
7,0.19444444444444442,0.4,0.19444444444444442,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-07-25,2006-08-01,2006-08-15
6,0.19444444444444442,0.4,0.19444444444444442,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-07-25,2006-08-01,2006-08-15
9,0.19444444444444442,0.4,0.19444444444444442,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-07-25,2006-08-01,2006-08-15
10,0.19444444444444442,0.4,0.19444444444444442,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-07-25,2006-08-01,2006-08-15
11,0.19444444444444442,0.4,0.19444444444444442,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-07-25,2006-08-01,2006-08-15
8,0.19444444444444442,0.4,0.19444444444444442,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-07-25,2006-08-01,2006-08-15
12,0.19444444444444442,0.4,0.19444444444444442,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-07-25,2006-08-01,2006-08-15
14,0.19444444444444442,0.4,0.19444444444444442,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-07-25,2006-08-01,2006-08-15
15,0.19444444444444442,0.4,0.19444444444444442,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-07-25,2006-08-01,2006-08-15
16,0.19444444444444442,0.4,0.19444444444444442,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-07-25,2006-08-01,2006-08-15
17,0.19444444444444442,0.4,0.19444444444444442,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-07-25,2006-08-01,2006-08-15
18,0.19444444444444442,0.4,0.19444444444444442,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-07-25,2006-08-01,2006-08-15
19,0.19444444444444442,0.4,0.19444444444444442,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-07-25,2006-08-01,2006-08-15
20,0.19444444444444442,0.4,0.19444444444444442,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-07-25,2006-08-01,2006-08-15
15,0.3378968253968254,0.7472222222222222,0.3378968253968254,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-08-01,2006-08-08,2006-08-22
20,0.3378968253968254,0.7472222222222222,0.3378968253968254,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-08-01,2006-08-08,2006-08-22
18,0.3267045454545454,0.7361111111111112,0.3267045454545454,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-08-01,2006-08-08,2006-08-22
19,0.32154344193817874,0.7194444444444444,0.32154344193817874,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-08-01,2006-08-08,2006-08-22
5,0.212280701754386,0.6861111111111111,0.212280701754386,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-08-01,2006-08-08,2006-08-22
4,0.212280701754386,0.6861111111111111,0.212280701754386,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-08-01,2006-08-08,2006-08-22
2,0.212280701754386,0.6861111111111111,0.212280701754386,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-08-01,2006-08-08,2006-08-22
1,0.212280701754386,0.6861111111111111,0.212280701754386,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-08-01,2006-08-08,2006-08-22
13,0.212280701754386,0.6861111111111111,0.212280701754386,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-08-01,2006-08-08,2006-08-22
9,0.19318181818181818,0.6361111111111111,0.19318181818181818,4,0.08,0.6799632809900433,0.6029449079004022,5.0,3.6780431099608277,0.062387461202956296,0.0,800,2006-08-01,2006-08-08,2006-08-22
10,0.19318181818181818,0.6361111111111111,0.19318181818181818,5,0.03,0.783566310215336,0.8274964783811575,5.0,0.7141290465056294,0.0020381267945736308,0.2,800,2006-08-01,2006-08-08,2006-08-22
6,0.19318181818181818,0.6361111111111111,0.19318181818181818,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-08-01,2006-08-08,2006-08-22
17,0.19318181818181818,0.6361111111111111,0.19318181818181818,6,0.1,0.6472023608482061,0.9847590658198058,2.0,5.005399660004454,0.07748350558842121,0.0,800,2006-08-01,2006-08-08,2006-08-22
16,0.18791045126184447,0.6305555555555555,0.18791045126184447,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-08-01,2006-08-08,2006-08-22
3,0.17929292929292928,0.6083333333333334,0.17929292929292928,6,0.05,0.7773656795309325,0.6908954887139107,5.0,2.0419413588527497,0.0014869850133332,0.4,800,2006-08-01,2006-08-08,2006-08-22
8,0.17929292929292928,0.6083333333333334,0.17929292929292928,6,0.01,0.9329039205580805,0.9219057429987207,5.0,1.337291908769443,0.006004624868983827,0.05,800,2006-08-01,2006-08-08,2006-08-22
7,0.17929292929292928,0.6083333333333333,0.17929292929292928,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-08-01,2006-08-08,2006-08-22
11,0.17929292929292928,0.6083333333333334,0.17929292929292928,5,0.08,0.8260944425924756,0.9059995429664103,5.0,2.5014403555144367,0.031236644989686733,0.1,800,2006-08-01,2006-08-08,2006-08-22
14,0.17929292929292928,0.6083333333333334,0.17929292929292928,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-08-01,2006-08-08,2006-08-22
12,0.16818181818181815,0.6138888888888889,0.16818181818181815,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-08-01,2006-08-08,2006-08-22
1,0.5059523809523809,0.6833333333333333,0.5059523809523809,3,0.08,0.943439167964553,0.8789472116237456,10.0,0.6362020770991013,0.43070543235452424,0.1,800,2006-08-08,2006-08-15,2006-08-29
2,0.5059523809523809,0.6833333333333333,0.5059523809523809,6,0.08,0.6512454530702183,0.7801543751582268,10.0,1.2819698951780565,0.3178816582613601,0.2,800,2006-08-08,2006-08-15,2006-08-29
4,0.5059523809523809,0.6833333333333333,0.5059523809523809,7,0.03,0.9032350960341495,0.7418103872519474,10.0,5.8582489969091,0.25788556152146747,0.2,800,2006-08-08,2006-08-15,2006-08-29
5,0.5059523809523809,0.6833333333333333,0.5059523809523809,6,0.08,0.7866884014908136,0.6175215063148914,10.0,0.7408297960466108,0.06986057787933078,0.0,800,2006-08-08,2006-08-15,2006-08-29
13,0.5059523809523809,0.6833333333333333,0.5059523809523809,7,0.01,0.6233210966756264,0.7125535568087986,10.0,1.054273119418216,0.06125966108369505,0.05,800,2006-08-08,2006-08-15,2006-08-29
19,0.36408730158730157,0.7444444444444445,0.36408730158730157,3,0.05,0.7823105159334445,0.6809453459180921,1.0,1.0878080956056209,0.03663471659022304,0.4,800,2006-08-08,2006-08-15,2006-08-29
15,0.3392857142857143,0.7222222222222222,0.3392857142857143,4,0.01,0.88894374023858,0.7847508921005549,1.0,0.7540479384549796,0.02253309733898527,0.0,800,2006-08-08,2006-08-15,2006-08-29
20,0.3392857142857143,0.7222222222222222,0.3392857142857143,5,0.05,0.903407811934084,0.8877851823803746,1.0,1.497277656453148,0.04940078725105252,0.4,800,2006-08-08,2006-08-15,2006-08-29
16,0.3311965811965812,0.7222222222222222,0.3311965811965812,7,0.05,0.7784625102296123,0.752408490438593,1.0,1.0756309698756332,0.05032259187325554,0.2,800,2006-08-08,2006-08-15,2006-08-29
7,0.3273199023199023,0.7333333333333333,0.3273199023199023,5,0.08,0.6907637396203536,0.867925597873004,1.0,1.5165862380748731,0.1771051252192092,0.1,800,2006-08-08,2006-08-15,2006-08-29
12,0.3235119047619047,0.8222222222222222,0.3235119047619047,3,0.08,0.6123271338271757,0.774686955692945,5.0,0.8630642749239743,0.012677316647743868,0.05,800,2006-08-08,2006-08-15,2006-08-29
6,0.3235119047619047,0.8222222222222222,0.3235119047619047,7,0.03,0.7303301432552608,0.7481838824139475,5.0,1.6463091517076809,0.0032476758025680513,0.4,800,2006-08-08,2006-08-15,2006-08-29
18,0.3235119047619047,0.8222222222222222,0.3235119047619047,5,0.08,0.9115003615863179,0.8867560756635982,2.0,1.5642193441716328,0.00543315652603629,0.4,800,2006-08-08,2006-08-15,2006-08-29
14,0.32103174603174606,0.8166666666666667,0.32103174603174606,3,0.05,0.865725416130955,0.7625547445760282,5.0,3.939330541466676,0.002823754160079981,0.2,800,2006-08-08,2006-08-15,2006-08-29
